# Sample ARCore pose data with RFID tag detections
1000000000000 0.000000 0.000000 -0.707107 0.707107 2.000000 0.000000 1.500000
1000033333333 0.000000 0.000000 -0.729186 0.684316 1.995973 0.126848 1.500000
1000066666666 0.000000 0.000000 -0.750531 0.660836 1.983910 0.253185 1.500000
1000100000000 0.000000 0.000000 -0.771120 0.636690 1.963857 0.378502 1.500000
1000133333333 0.000000 0.000000 -0.790932 0.611904 1.935897 0.502296 1.500000
1000166666666 0.000000 0.000000 -0.809949 0.586501 1.900142 0.624067 1.500000
1000200000000 0.000000 0.000000 -0.828149 0.560508 1.856736 0.743325 1.500000
1000233333333 0.000000 0.000000 -0.845516 0.533950 1.805853 0.859590 1.500000
1000266666666 0.000000 0.000000 -0.862032 0.506855 1.747699 0.972393 1.500000
1000300000000 0.000000 0.000000 -0.877679 0.479249 1.682507 1.081282 1.500000
1000333333333 0.000000 0.000000 -0.892443 0.451161 1.610541 1.185816 1.500000
1000366666666 0.000000 0.000000 -0.906308 0.422618 1.532089 1.285575 1.500000
1000400000000 0.000000 0.000000 -0.919260 0.393650 1.447468 1.380158 1.500000
1000433333333 0.000000 0.000000 -0.931287 0.364286 1.357019 1.469183 1.500000
1000466666666 0.000000 0.000000 -0.942376 0.334555 1.261105 1.552293 1.500000
1000500000000 0.000000 0.000000 -0.952517 0.304486 1.160114 1.629152 1.500000
1000533333333 0.000000 0.000000 -0.961698 0.274112 1.054451 1.699451 1.500000
1000566666666 0.000000 0.000000 -0.969911 0.243461 0.944542 1.762907 1.500000
1000600000000 0.000000 0.000000 -0.977147 0.212565 0.830830 1.819264 1.500000
1000633333333 0.000000 0.000000 -0.983399 0.181455 0.713772 1.868296 1.500000
1000666666666 0.000000 0.000000 -0.988661 0.150163 0.593841 1.909804 1.500000 TAG001
1000700000000 0.000000 0.000000 -0.992928 0.118719 0.471518 1.943623 1.500000
1000733333333 0.000000 0.000000 -0.996195 0.087156 0.347296 1.969616 1.500000
1000766666666 0.000000 0.000000 -0.998458 0.055505 0.221676 1.987677 1.500000
1000800000000 0.000000 0.000000 -0.999717 0.023798 0.095164 1.997735 1.500000
1000833333333 0.000000 0.000000 0.999969 0.007933 -0.031732 1.999748 1.500000
1000866666666 0.000000 0.000000 0.999213 0.039656 -0.158500 1.993710 1.500000
1000900000000 0.000000 0.000000 0.997452 0.071339 -0.284630 1.979643 1.500000
1000933333333 0.000000 0.000000 0.994686 0.102950 -0.409613 1.957605 1.500000
1000966666666 0.000000 0.000000 0.990919 0.134458 -0.532948 1.927684 1.500000
1001000000000 0.000000 0.000000 0.986154 0.165830 -0.654136 1.890002 1.500000
